Player,Age,Ast,xAG,xG,Gls,MP,Min,Nation,PK,Pos,CrdR,Starts,Team,CrdY
David Raya,30-118,0,0.1,0,0,21,1890,es ESP,0,GK,0,21,Arsenal,1
Martín Zubimendi,26-343,1,1.1,1.9,3,21,1769,es ESP,0,MF,0,20,Arsenal,4
Declan Rice,26-362,3,3.5,2.5,4,20,1696,eng ENG,0,MF,0,19,Arsenal,1
Jurriën Timber,24-208,3,1.1,4,2,20,1641,nl NED,0,DF,0,18,Arsenal,2
Bukayo Saka,24-128,3,4.9,5.3,4,19,1422,eng ENG,1,FW,0,16,Arsenal,1
William Saliba,24-293,0,0.2,0.3,0,17,1354,fr FRA,0,DF,0,16,Arsenal,0
Viktor Gyökeres,27-221,0,1.2,6.4,5,19,1290,se SWE,2,FW,0,16,Arsenal,3
Riccardo Calafiori,23-237,2,0.5,2.5,1,16,1255,it ITA,0,DF,0,16,Arsenal,5
Gabriel Magalhães,28-023,2,1.4,1.6,3,15,1266,br BRA,0,DF,0,14,Arsenal,1
Leandro Trossard,31-038,4,2.2,4,5,17,1131,be BEL,0,FW,0,12,Arsenal,1
Eberechi Eze,27-196,2,1.2,2.3,4,15,923,eng ENG,0,"MF,FW",0,11,Arsenal,0
Martin Ødegaard,27-025,3,2.4,0.9,1,15,874,no NOR,0,MF,0,11,Arsenal,0
Mikel Merino,29-203,3,1.4,2.1,3,19,940,es ESP,0,"MF,FW",0,10,Arsenal,1
Piero Hincapié,24-002,0,0.7,0,0,12,891,ec ECU,0,DF,0,10,Arsenal,2
Noni Madueke,23-307,0,1.4,0.5,0,12,510,eng ENG,0,FW,0,6,Arsenal,0
Gabriel Martinelli,24-207,0,0.3,2.1,1,16,510,br BRA,0,FW,0,6,Arsenal,2
Cristhian Mosquera,21-198,0,0.1,0,0,10,433,es ESP,0,DF,0,4,Arsenal,1
Ben White,28-095,1,0.8,0.4,0,5,288,eng ENG,0,DF,0,4,Arsenal,0
Myles Lewis-Skelly,19-107,0,0.1,0.1,0,14,321,eng ENG,0,DF,0,1,Arsenal,3
Ethan Nwaneri,18-296,0,0,0.2,0,6,171,eng ENG,0,MF,0,0,Arsenal,0
Gabriel Jesus,28-283,0,0,0.5,1,6,122,br BRA,0,FW,0,0,Arsenal,1
Christian Nørgaard,31-307,0,0,0.1,0,3,33,dk DEN,0,MF,0,0,Arsenal,0
Kai Havertz,26-214,0,0,0,0,1,31,de GER,0,FW,0,0,Arsenal,0
Max Dowman,16-011,0,0,0.1,0,2,29,eng ENG,0,FW,0,0,Arsenal,0
Andre Annous,18-015,,,,,0,,eng ENG,,FW,,0,Arsenal,
Kepa Arrizabalaga,31-100,,,,,0,,es ESP,,GK,,0,Arsenal,
Jakub Kiwior,25-330,,,,,0,,pl POL,,"DF,MF",,0,Arsenal,
Marli Salmon,16-135,,,,,0,,eng ENG,,DF,,0,Arsenal,
Morgan Rogers,23-169,4,3.2,3.4,7,21,1867,eng ENG,0,"FW,MF",0,21,Aston-Villa,4
Ezri Konsa,28-080,0,0.4,0.4,0,20,1775,eng ENG,0,DF,1,20,Aston-Villa,0
Matty Cash,28-157,2,1.8,0.7,3,20,1770,pl POL,0,DF,0,20,Aston-Villa,5
John McGinn,31-085,2,2.1,2.6,3,21,1574,sct SCO,0,"FW,MF",0,20,Aston-Villa,3
Ollie Watkins,30-012,1,1.2,8.4,7,21,1563,eng ENG,0,FW,0,18,Aston-Villa,1
Emiliano Martínez,33-131,0,0,0,0,17,1485,ar ARG,0,GK,0,17,Aston-Villa,1
Boubacar Kamara,26-049,3,0.8,0.5,1,18,1411,fr FRA,0,MF,0,17,Aston-Villa,5
Lucas Digne,32-175,3,1.3,0.5,0,20,1198,fr FRA,0,DF,0,14,Aston-Villa,2
Youri Tielemans,28-249,4,2.8,0.9,0,15,1134,be BEL,0,MF,0,13,Aston-Villa,0
Amadou Onana,24-148,0,0.1,0.4,2,14,888,be BEL,0,MF,0,11,Aston-Villa,2
Pau Torres,28-360,0,0,0.2,0,12,954,es ESP,0,DF,0,10,Aston-Villa,0
Emi Buendía,29-017,2,1.4,1.8,4,19,769,ar ARG,0,"MF,FW",0,9,Aston-Villa,2
Ian Maatsen,23-307,0,1.5,0.7,0,15,698,nl NED,0,DF,0,7,Aston-Villa,1
Victor Lindelöf,31-178,1,0.3,0,0,10,569,se SWE,0,DF,0,6,Aston-Villa,0
Evann Guessand,24-194,1,0.6,1,0,12,515,ci CIV,0,FW,0,6,Aston-Villa,0
Tyrone Mings,32-304,0,0.1,0.3,0,7,498,eng ENG,0,DF,0,6,Aston-Villa,0
Donyell Malen,27-002,1,0.4,4,4,21,656,nl NED,0,FW,0,5,Aston-Villa,0
Lamare Bogarde,22-006,0,0,0,0,16,440,nl NED,0,"MF,DF",0,4,Aston-Villa,4
Marco Bizot,34-307,0,0,0,0,5,405,nl NED,0,GK,0,4,Aston-Villa,2
Jadon Sancho,25-292,0,0.5,0.4,0,11,311,eng ENG,0,FW,0,2,Aston-Villa,0
Harvey Elliott,22-282,0,0,0.2,0,3,98,eng ENG,0,"MF,FW",0,1,Aston-Villa,0
Ross Barkley,32-037,0,0.5,0.4,1,7,121,eng ENG,0,MF,0,0,Aston-Villa,0
Andrés García,22-338,0,0,0,0,2,31,es ESP,0,DF,0,0,Aston-Villa,0
Bradley Burrowes,17-313,0,0,0,0,1,17,eng ENG,0,DF,0,0,Aston-Villa,0
George Hemmings,18-313,0,0,0,0,1,9,eng ENG,0,MF,0,0,Aston-Villa,0
Jamaldeen Jimoh,19-101,0,0,0,0,1,9,eng ENG,0,MF,0,0,Aston-Villa,0
Benjamin Broggio,18-347,,,,,0,,eng ENG,,FW,,0,Aston-Villa,
Theodore Carroll,18-295,,,,,0,,eng ENG,,MF,,0,Aston-Villa,
Ronnie Hollingshead,21-124,,,,,0,,wls WAL,,GK,,0,Aston-Villa,
Samuel Iling-Junior,22-099,,,,,0,,eng ENG,,"DF,MF",,0,Aston-Villa,
Travis Patterson,20-097,,,,,0,,eng ENG,,DF,,0,Aston-Villa,
Sam Proctor,19-021,,,,,0,,eng ENG,,GK,,0,Aston-Villa,
Leon Routh,18-042,,,,,0,,eng ENG,,DF,,0,Aston-Villa,
Triston Rowe,19-238,,,,,0,,eng ENG,,DF,,0,Aston-Villa,
James Wright,21-040,,,,,0,,eng ENG,,GK,,0,Aston-Villa,
Đorđe Petrović,26-095,0,0,0,0,21,1890,rs SRB,0,GK,0,21,Bournemouth,1
Adrien Truffert,24-052,1,1.2,0.3,0,21,1849,fr FRA,0,DF,0,21,Bournemouth,3
Antoine Semenyo,26-004,3,2.1,6.7,10,20,1798,gh GHA,1,"FW,MF",0,20,Bournemouth,6
Marcos Senesi,28-246,4,2.9,0.6,0,20,1758,ar ARG,0,DF,0,20,Bournemouth,6
Marcus Tavernier,26-295,3,2.4,4.2,4,21,1691,eng ENG,1,"MF,FW",0,19,Bournemouth,3
Alex Scott,22-143,0,1.3,1.3,1,21,1410,eng ENG,0,MF,0,18,Bournemouth,2
Evanilson,26-097,0,1.7,5.3,4,19,1407,br BRA,0,FW,0,16,Bournemouth,1
Bafodé Diakité,25-005,0,0.1,0,0,16,1264,fr FRA,0,DF,0,15,Bournemouth,1
Tyler Adams,26-331,1,0.1,0.5,2,15,1195,us USA,0,MF,0,15,Bournemouth,5
Álex Jiménez,20-248,0,0.3,0.5,0,17,1155,es ESP,0,"DF,FW",0,13,Bournemouth,5
David Brooks,28-187,2,2.6,4.3,1,19,937,wls WAL,0,"FW,MF",0,11,Bournemouth,6
Justin Kluivert,26-251,0,1.5,2.2,2,18,919,nl NED,0,MF,0,10,Bournemouth,4
Adam Smith,34-257,1,0.4,0,0,10,523,eng ENG,0,DF,0,8,Bournemouth,1
Eli Junior Kroupi,19-202,0,0.4,3.5,7,16,576,fr FRA,0,"FW,MF",0,7,Bournemouth,2
James Hill,24-001,0,0.1,0.2,0,12,576,eng ENG,0,DF,0,5,Bournemouth,1
Lewis Cook,28-342,1,0.3,0.1,0,11,501,eng ENG,0,"MF,DF",1,4,Bournemouth,1
Veljko Milosavljević,18-197,0,0.1,0.2,0,6,367,rs SRB,0,DF,0,4,Bournemouth,0
Amine Adli,25-246,0,0.5,1,1,17,442,ma MAR,0,"FW,MF",0,3,Bournemouth,1
Ryan Christie,30-323,0,0.1,1.1,1,11,296,sct SCO,0,MF,0,1,Bournemouth,1
Enes Ünal,28-246,0,0,1,1,9,119,tr TUR,0,"FW,MF",0,0,Bournemouth,1
Ben Gannon-Doak,20-061,1,0.6,0.1,0,4,57,sct SCO,0,FW,0,0,Bournemouth,0
Julio Soler,20-329,0,0,0,0,3,35,ar ARG,0,"DF,FW",0,0,Bournemouth,0
Hamed Junior Traorè,25-329,1,0.2,0,0,1,17,ci CIV,0,MF,0,0,Bournemouth,0
Ben Winterburn,21-129,0,0,0,0,1,7,eng ENG,0,MF,0,0,Bournemouth,0
Julian Araujo,24-151,,,,,0,,mx MEX,,DF,,0,Bournemouth,
Philip Billing,29-214,,,,,0,,dk DEN,,MF,,0,Bournemouth,
Malcom Dacosta,17-269,,,,,0,,ec ECU,,MF,,0,Bournemouth,
Will Dennis,25-185,,,,,0,,eng ENG,,GK,,0,Bournemouth,
Romain Faivre,27-181,,,,,0,,fr FRA,,"FW,MF",,0,Bournemouth,
Fraser Forster,37-300,,,,,0,,eng ENG,,GK,,0,Bournemouth,
Remy Rees-Dottin,19-311,,,,,0,,eng ENG,,FW,,0,Bournemouth,
Caoimhín Kelleher,27-049,0,0.1,0,0,21,1890,ie IRL,0,GK,0,21,Brentford,1
Michael Kayode,21-185,0,2.1,0.2,0,21,1828,it ITA,0,DF,0,21,Brentford,5
Nathan Collins,24-256,2,1.7,1.5,1,21,1817,ie IRL,0,DF,0,20,Brentford,4
Thiago,24-199,1,3,12.5,16,21,1752,br BRA,5,FW,0,20,Brentford,4
Kevin Schade,24-045,3,2.6,7.5,6,20,1645,de GER,0,FW,0,19,Brentford,5
Yehor Yarmoliuk,21-316,2,1.3,0.9,1,21,1567,ua UKR,0,MF,0,19,Brentford,4
Sepp van den Berg,24-022,0,0.5,1.6,0,17,1530,nl NED,0,DF,0,17,Brentford,1
Jordan Henderson,35-208,3,1.9,0.3,1,20,1354,eng ENG,0,MF,0,15,Brentford,4
Mikkel Damsgaard,25-192,3,3.6,1.1,1,18,1166,dk DEN,0,MF,0,13,Brentford,0
Dango Ouattara,23-334,0,1.1,3.5,3,15,1062,bf BFA,0,FW,0,12,Brentford,3
Kristoffer Ajer,27-269,1,0.7,0.7,0,15,973,no NOR,0,DF,0,11,Brentford,1
Keane Lewis-Potter,24-323,1,1.2,1.3,2,19,912,eng ENG,0,"FW,DF",0,10,Brentford,1
Mathias Jensen,30-010,0,0.7,0.9,2,19,772,dk DEN,0,"MF,FW",0,9,Brentford,1
Vitaly Janelt,27-246,4,2.4,0.5,0,16,766,de GER,0,MF,0,7,Brentford,3
Rico Henry,28-187,0,0.1,0.2,0,17,719,jm JAM,0,DF,0,6,Brentford,2
Aaron Hickey,23-215,0,0,0.4,0,13,514,sct SCO,0,DF,0,6,Brentford,1
Ethan Pinnock,32-227,0,0,0,0,3,228,jm JAM,0,DF,0,3,Brentford,1
Fabio Carvalho,23-134,0,0,0.7,1,6,102,pt POR,0,"FW,MF",0,1,Brentford,0
Antoni Milambo,20-283,0,0,0,0,1,45,nl NED,0,MF,0,1,Brentford,0
Frank Onyeka,28-010,1,0.1,0,0,6,92,ng NGA,0,MF,0,0,Brentford,0
Reiss Nelson,26-032,0,0,0.6,0,6,55,eng ENG,0,FW,0,0,Brentford,0
Myles Peart-Harris,23-115,0,0,0,0,1,1,eng ENG,0,FW,0,0,Brentford,0
Benjamin Arthur,20-094,,,,,0,,eng ENG,,DF,,0,Brentford,
Romelle Donovan,19-042,,,,,0,,eng ENG,,FW,,0,Brentford,
Yunus Emre Konak,20-001,,,,,0,,tr TUR,,MF,,0,Brentford,
Gustavo Nunes,20-052,,,,,0,,br BRA,,MF,,0,Brentford,
Mads Roerslev,26-201,,,,,0,,dk DEN,,"DF,MF",,0,Brentford,
Hákon Valdimarsson,24-090,,,,,0,,is ISL,,GK,,0,Brentford,
Bart Verbruggen,23-146,0,0.1,0,0,21,1890,nl NED,0,GK,0,21,Brighton-and-Hove-Albion,3
Jan Paul van Hecke,25-217,1,0.2,1.7,3,20,1800,nl NED,0,DF,0,20,Brighton-and-Hove-Albion,5
Lewis Dunk,34-051,0,0.1,0.7,0,20,1755,eng ENG,0,DF,0,19,Brighton-and-Hove-Albion,8
Yankuba Minteh,21-173,4,4.5,2.7,1,19,1541,gm GAM,0,FW,0,18,Brighton-and-Hove-Albion,0
Ferdi Kadioglu,26-096,0,1.2,0.9,0,20,1605,tr TUR,0,"DF,FW",0,17,Brighton-and-Hove-Albion,4
Yasin Ayari,22-097,1,0.9,2.4,2,19,1521,se SWE,0,MF,0,16,Brighton-and-Hove-Albion,0
Georginio Rutter,23-266,2,2.7,1.9,2,19,1337,fr FRA,0,"MF,FW",0,16,Brighton-and-Hove-Albion,2
Diego Gómez,22-290,0,1.5,4.5,3,19,1271,py PAR,0,"MF,FW",0,15,Brighton-and-Hove-Albion,5
Carlos Baleba,22-008,0,0.1,0.2,0,16,896,cm CMR,0,MF,0,14,Brighton-and-Hove-Albion,4
Mats Wieffer,26-056,3,3.1,1.2,0,16,1181,nl NED,0,DF,0,13,Brighton-and-Hove-Albion,4
Danny Welbeck,35-046,0,0.3,7.2,8,20,1121,eng ENG,1,FW,0,12,Brighton-and-Hove-Albion,3
Maxim De Cuyper,25-020,0,1.6,1.5,2,18,979,be BEL,0,"DF,FW",0,12,Brighton-and-Hove-Albion,2
Kaoru Mitoma,28-236,1,2.1,1.3,2,11,747,jp JPN,0,FW,0,8,Brighton-and-Hove-Albion,2
Brajan Gruda,21-225,1,0.9,1.7,1,17,654,de GER,0,"MF,FW",0,7,Brighton-and-Hove-Albion,2
Jack Hinshelwood,20-275,1,0.2,0.4,1,12,595,eng ENG,0,"MF,DF",0,6,Brighton-and-Hove-Albion,0
Joël Veltman,33-361,0,0.3,0.9,1,11,587,nl NED,0,DF,0,6,Brighton-and-Hove-Albion,3
James Milner,40-007,1,0.2,0.8,1,12,307,eng ENG,1,MF,0,2,Brighton-and-Hove-Albion,2
Diego Coppola,22-014,0,0,0,0,5,194,it ITA,0,DF,0,2,Brighton-and-Hove-Albion,2
Matt O'Riley,25-051,0,0.2,1.2,1,2,177,dk DEN,1,MF,0,2,Brighton-and-Hove-Albion,0
Olivier Boscagli,28-054,0,0,0,0,3,143,fr FRA,0,DF,0,2,Brighton-and-Hove-Albion,1
Charalampos Kostoulas,18-226,1,0.9,1.3,1,11,176,gr GRE,0,"FW,MF",0,1,Brighton-and-Hove-Albion,1
Stefanos Tzimas,20-005,1,0.5,0.5,1,9,139,gr GRE,0,"FW,MF",0,1,Brighton-and-Hove-Albion,0
Pascal Groß,34-210,0,0,0.1,0,2,110,de GER,0,MF,0,1,Brighton-and-Hove-Albion,1
Tom Watson,19-278,0,0,0,0,6,62,eng ENG,0,FW,0,0,Brighton-and-Hove-Albion,1
Joe Knight,20-112,0,0,0,0,1,1,eng ENG,0,MF,0,0,Brighton-and-Hove-Albion,0
Nehemiah Oriola,18-214,0,0,0,0,1,1,eng ENG,0,MF,0,0,Brighton-and-Hove-Albion,0
Harry Howell,17-104,,,,,0,,eng ENG,,FW,,0,Brighton-and-Hove-Albion,
Freddie Simmonds,17-308,,,,,0,,eng ENG,,DF,,0,Brighton-and-Hove-Albion,
Jason Steele,35-146,,,,,0,,eng ENG,,GK,,0,Brighton-and-Hove-Albion,
Charlie Tasker,19-321,,,,,0,,eng ENG,,DF,,0,Brighton-and-Hove-Albion,
Martin Dúbravka,36-361,0,0,0,0,21,1890,sk SVK,0,GK,0,21,Burnley,0
Kyle Walker,35-228,1,0.5,0.1,0,20,1786,eng ENG,0,"DF,MF",0,20,Burnley,7
Maxime Estève,23-230,0,0.4,0.4,0,18,1535,fr FRA,0,DF,0,18,Burnley,0
Josh Cullen,29-279,2,2.1,0.9,2,18,1514,ie IRL,0,MF,0,18,Burnley,2
Quilindschy Hartman,24-058,4,1.5,0.2,0,15,1337,nl NED,0,DF,0,15,Burnley,1
Florentino Luís,26-145,1,0.4,0.5,0,17,1314,pt POR,0,MF,0,15,Burnley,3
Lesley Ugochukwu,21-291,0,0.3,2.1,3,20,1286,fr FRA,0,MF,1,15,Burnley,2
Jaidon Anthony,26-041,1,0.6,2.5,5,20,1256,eng ENG,0,"MF,FW",0,15,Burnley,3
Hjalmar Ekdal,27-082,0,0.1,0.3,0,14,1162,se SWE,0,DF,0,13,Burnley,0
Josh Laurent,30-250,0,0.4,0.4,1,18,1060,eng ENG,0,"DF,MF",0,11,Burnley,3
Lyle Foster,25-130,1,0.8,1.6,2,14,883,za RSA,0,FW,0,11,Burnley,3
Jacob Bruun Larsen,27-114,1,1.4,1.2,0,18,861,dk DEN,0,"FW,MF",0,9,Burnley,0
Loum Tchaouna,22-125,0,0.3,0.8,1,16,759,fr FRA,0,"MF,FW",0,9,Burnley,1
Axel Tuanzebe,28-058,0,0,0,0,8,706,cd COD,0,DF,0,8,Burnley,1
Zian Flemming,27-163,0,0.2,3.2,5,15,667,nl NED,2,FW,0,8,Burnley,3
Armando Broja,24-123,1,0.3,1.9,1,15,635,al ALB,0,FW,0,6,Burnley,0
Lucas,24-293,0,0.3,0.3,0,7,502,br BRA,0,"DF,MF",1,6,Burnley,0
Hannibal Mejbri,22-355,1,1.1,0.3,0,14,460,tn TUN,0,MF,0,5,Burnley,4
Marcus Edwards,27-039,2,1.9,0.7,0,11,403,eng ENG,0,"FW,MF",0,3,Burnley,0
Bashir Humphreys,22-302,0,0,0.1,0,5,349,eng ENG,0,DF,0,3,Burnley,1
Oliver Sonne,25-062,0,0,0.6,1,7,169,pe PER,0,"DF,FW",0,1,Burnley,0
Joe Worrall,29-001,0,0,0,0,6,157,eng ENG,0,DF,0,1,Burnley,0
Mike Trésor,26-228,0,0,0,0,4,23,be BEL,0,"MF,FW",0,0,Burnley,0
Ashley Barnes,36-073,0,0,0.1,0,2,11,eng ENG,0,FW,0,0,Burnley,0
Jaydon Amauri Banel,21-084,0,0,0,0,1,10,nl NED,0,MF,0,0,Burnley,0
Enock Agyei,20-363,,,,,0,,be BEL,,FW,,0,Burnley,
George Brierley,18-052,,,,,0,,eng ENG,,MF,,0,Burnley,
Oliver Pimlott,18-279,,,,,0,,eng ENG,,MF,,0,Burnley,
Aaron Ramsey,22-355,,,,,0,,eng ENG,,MF,,0,Burnley,
Max Weiß,21-210,,,,,0,,de GER,,GK,,0,Burnley,
Trevoh Chalobah,26-190,0,0.1,1.1,3,20,1740,eng ENG,0,DF,1,20,Chelsea,3
Robert Sánchez,28-054,1,0.8,0,0,20,1714,es ESP,0,GK,1,20,Chelsea,2
Enzo Fernández,24-359,1,4.9,7.8,6,20,1701,ar ARG,1,MF,0,19,Chelsea,5
Pedro Neto,25-308,3,4,3.6,5,21,1639,pt POR,0,FW,0,19,Chelsea,2
Marc Cucurella,27-173,2,1.7,0.6,0,19,1525,es ESP,0,DF,1,18,Chelsea,3
João Pedro,24-107,3,2.8,6.5,6,21,1525,br BRA,0,"FW,MF",0,18,Chelsea,2
Moisés Caicedo,24-070,1,1.1,0.9,3,16,1342,ec ECU,0,MF,1,15,Chelsea,5
Reece James,26-034,4,3.2,0.9,2,20,1365,eng ENG,0,"DF,MF",0,14,Chelsea,4
Malo Gusto,22-237,2,1.2,1.2,2,19,1221,fr FRA,0,"DF,MF",1,13,Chelsea,3
Alejandro Garnacho,21-194,3,3.1,1.9,1,13,761,ar ARG,0,FW,0,10,Chelsea,1
Wesley Fofana,25-025,0,0,0.2,0,10,758,fr FRA,0,DF,0,9,Chelsea,1
Cole Palmer,23-250,0,0.2,2.7,3,11,664,eng ENG,1,"MF,FW",0,9,Chelsea,1
Estêvão Willian,18-262,1,2,2.3,1,17,610,br BRA,0,FW,0,8,Chelsea,3
Liam Delap,22-337,0,0.1,2.4,1,12,575,eng ENG,0,FW,0,8,Chelsea,2
Tosin Adarabioyo,28-109,0,0.7,0.1,0,10,651,eng ENG,0,DF,0,6,Chelsea,2
Joshua Acheampong,19-251,0,0.1,0.6,1,8,470,eng ENG,0,DF,0,6,Chelsea,0
Andrey Santos,21-253,0,0.2,1.7,0,15,520,br BRA,0,MF,0,5,Chelsea,3
Jamie Gittens,21-156,2,0.7,0.8,0,14,453,eng ENG,0,FW,0,4,Chelsea,0
Benoît Badiashile,24-291,0,0,0,0,6,336,fr FRA,0,DF,0,4,Chelsea,2
Jorrel Hato,19-310,0,0.2,0.2,0,6,260,nl NED,0,DF,0,2,Chelsea,2
Marc Guiu,20-007,1,1,1.4,0,7,238,es ESP,0,FW,0,1,Chelsea,1
Filip Jørgensen,23-270,0,0,0,0,2,174,dk DEN,0,GK,0,1,Chelsea,0
Roméo Lavia,22-005,0,0,0,0,4,108,be BEL,0,MF,0,1,Chelsea,0
